               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.05649,            0.033846,            0.005241,             0.80047,             0.49856,             0.66172,             0.30951,            0.052688,            0.028821,           0.0040119,            0.006436,            0.006436,            0.006436
                  38,            0.054538,            0.032636,           0.0051621,             0.48435,              0.6359,             0.61381,             0.26907,            0.053477,            0.028704,           0.0042503,            0.006337,            0.006337,            0.006337
                  39,            0.054718,            0.032676,           0.0052358,             0.72769,             0.50024,             0.63713,             0.29654,            0.053225,            0.028543,            0.004165,            0.006238,            0.006238,            0.006238
                  40,            0.055373,            0.034048,           0.0050494,             0.51912,             0.69796,             0.63932,              0.2999,            0.051898,            0.028413,           0.0041276,            0.006139,            0.006139,            0.006139
                  41,            0.054035,            0.032223,            0.005119,             0.76214,             0.54793,              0.6772,             0.31912,            0.052169,            0.028244,           0.0036686,             0.00604,             0.00604,             0.00604
                  42,            0.054765,            0.033296,            0.005229,             0.46789,             0.68585,             0.67989,             0.31004,            0.051748,            0.027989,           0.0039678,            0.005941,            0.005941,            0.005941
                  43,            0.054107,            0.031815,           0.0050072,             0.63953,             0.64745,             0.67016,             0.30708,            0.052583,            0.028016,           0.0042283,            0.005842,            0.005842,            0.005842
                  44,             0.05399,            0.032835,           0.0046313,             0.75264,             0.61001,             0.70671,             0.33941,            0.049561,             0.02761,           0.0040864,            0.005743,            0.005743,            0.005743
                  45,             0.05341,            0.032756,           0.0046996,             0.73338,             0.66623,              0.7204,              0.3308,            0.051188,            0.027484,           0.0038468,            0.005644,            0.005644,            0.005644
                  46,             0.05338,            0.032766,           0.0045331,             0.71939,             0.61864,             0.69287,             0.31719,            0.049884,             0.02675,            0.003878,            0.005545,            0.005545,            0.005545
                  47,            0.052712,            0.031349,           0.0044696,             0.80229,             0.60743,             0.71439,             0.37403,            0.048538,            0.026627,           0.0037993,            0.005446,            0.005446,            0.005446
